YEAR;QUARTER;MARKET;TRAJET;AIRLINE;D;PAX;PRICE;AERODEP;MAINDEP;VILLE_DEP;POPDEP;AEROARR;MAINARR;VILLE_ARR;POPARR;MSIZE
2014;2;ATL-AUS;ATL-AUS;DL;813;1498;238.09;ATL;1;ATL;5593204;AUS;1;AUS;1942467;10.86
2014;2;ATL-AUS;ATL-AUS;FL;813;26;205.04;ATL;1;ATL;5593204;AUS;1;AUS;1942467;10.86
2014;2;ATL-AUS;ATL-AUS;WN;813;517;209.56;ATL;1;ATL;5593204;AUS;1;AUS;1942467;10.86
2014;2;ATL-BIR;ATL-BHM;DL;134;43;250.40;ATL;1;ATL;5593204;BHM;1;BIR;1076087;6.02
2014;2;ATL-BOS;ATL-PVD;DL;903;649;255.38;ATL;1;ATL;5593204;PVD;0;BOS;1611026;9.01
2014;2;ATL-BOS;ATL-MHT;DL;952;201;245.86;ATL;1;ATL;5593204;MHT;0;BOS;1611026;9.01
2014;2;ATL-BOS;ATL-BOS;FL;946;861;179.09;ATL;1;ATL;5593204;BOS;1;BOS;1611026;9.01
2014;2;ATL-BOS;ATL-BOS;DL;946;4556;259.98;ATL;1;ATL;5593204;BOS;1;BOS;1611026;9.01
2014;2;ATL-BOS;ATL-BOS;WN;946;857;185.75;ATL;1;ATL;5593204;BOS;1;BOS;1611026;9.01
2014;2;ATL-BUF;ATL-BUF;DL;712;823;249.74;ATL;1;ATL;5593204;BUF;1;BUF;1135060;6.35
2014;2;ATL-CHA;ATL-CLT;DL;226;535;341.05;ATL;1;ATL;5593204;CLT;1;CHA;2400483;13.43
2014;2;ATL-CHA;ATL-CLT;US;226;309;322.22;ATL;1;ATL;5593204;CLT;1;CHA;2400483;13.43
2014;2;ATL-CHI;ATL-ORD;DL;606;3215;247.32;ATL;1;ATL;5593204;ORD;1;CHI;9560430;53.47
2014;2;ATL-CHI;ATL-MDW;WN;591;2225;182.72;ATL;1;ATL;5593204;MDW;0;CHI;9560430;53.47
2014;2;ATL-CHI;ATL-MDW;FL;591;801;181.96;ATL;1;ATL;5593204;MDW;0;CHI;9560430;53.47
2014;2;ATL-CHI;ATL-MDW;DL;591;1911;207.29;ATL;1;ATL;5593204;MDW;0;CHI;9560430;53.47
2014;2;ATL-CHI;ATL-ORD;AA;606;1201;235.16;ATL;1;ATL;5593204;ORD;1;CHI;9560430;53.47
2014;2;ATL-CHI;ATL-ORD;UA;606;1384;249.69;ATL;1;ATL;5593204;ORD;1;CHI;9560430;53.47
2014;2;ATL-CIN;ATL-CVG;DL;373;1092;276.50;ATL;1;ATL;5593204;CVG;1;CIN;2172190;12.15
2014;2;ATL-CLE;ATL-CLE;F9;554;196;87.83;ATL;1;ATL;5593204;CLE;1;CLE;2067356;11.56
2014;2;ATL-CLE;ATL-CLE;DL;554;1091;245.15;ATL;1;ATL;5593204;CLE;1;CLE;2067356;11.56
2014;2;ATL-CLE;ATL-CAK;WN;528;316;158.59;ATL;1;ATL;5593204;CAK;0;CLE;2067356;11.56
2014;2;ATL-CLE;ATL-CAK;FL;528;241;159.81;ATL;1;ATL;5593204;CAK;0;CLE;2067356;11.56
2014;2;ATL-CLE;ATL-CLE;UA;554;70;227.14;ATL;1;ATL;5593204;CLE;1;CLE;2067356;11.56
2014;2;ATL-CLE;ATL-CAK;DL;528;557;202.91;ATL;1;ATL;5593204;CAK;0;CLE;2067356;11.56
2014;2;ATL-COL;ATL-CMH;WN;447;220;166.49;ATL;1;ATL;5593204;CMH;1;COL;2407405;13.47
2014;2;ATL-COL;ATL-CMH;DL;447;1322;242.13;ATL;1;ATL;5593204;CMH;1;COL;2407405;13.47
2014;2;ATL-COL;ATL-CMH;FL;447;203;157.77;ATL;1;ATL;5593204;CMH;1;COL;2407405;13.47
2014;2;ATL-DAL;ATL-DFW;NK;731;1633;104.26;ATL;1;ATL;5593204;DFW;1;DAL;6889769;38.54
2014;2;ATL-DAL;ATL-DAL;DL;721;322;271.72;ATL;1;ATL;5593204;DAL;0;DAL;6889769;38.54
2014;2;ATL-DAL;ATL-DAL;WN;721;121;205.15;ATL;1;ATL;5593204;DAL;0;DAL;6889769;38.54
2014;2;ATL-DAL;ATL-DFW;DL;731;3592;276.05;ATL;1;ATL;5593204;DFW;1;DAL;6889769;38.54
2014;2;ATL-DAL;ATL-DFW;AA;731;2969;245.18;ATL;1;ATL;5593204;DFW;1;DAL;6889769;38.54
2014;2;ATL-DET;ATL-DTW;DL;594;2788;263.31;ATL;1;ATL;5593204;DTW;1;DET;4311194;24.11
2014;2;ATL-DET;ATL-DTW;FL;594;944;164.46;ATL;1;ATL;5593204;DTW;1;DET;4311194;24.11
2014;2;ATL-DET;ATL-DTW;WN;594;705;163.99;ATL;1;ATL;5593204;DTW;1;DET;4311194;24.11
2014;2;ATL-DNV;ATL-DEN;F9;1199;871;166.08;ATL;1;ATL;5593204;DEN;1;DNV;2753973;15.40
2014;2;ATL-DNV;ATL-DEN;WN;1199;1160;174.58;ATL;1;ATL;5593204;DEN;1;DNV;2753973;15.40
2014;2;ATL-DNV;ATL-DEN;UA;1199;328;257.44;ATL;1;ATL;5593204;DEN;1;DNV;2753973;15.40
2014;2;ATL-DNV;ATL-DEN;FL;1199;285;158.47;ATL;1;ATL;5593204;DEN;1;DNV;2753973;15.40
2014;2;ATL-DNV;ATL-DEN;DL;1199;2999;220.04;ATL;1;ATL;5593204;DEN;1;DNV;2753973;15.40
2014;2;ATL-GRK;ATL-GRR;DL;640;436;309.41;ATL;1;ATL;5593204;GRR;1;GRK;1036234;5.80
2014;2;ATL-HOU;ATL-IAH;DL;689;1524;233.66;ATL;1;ATL;5593204;IAH;1;HOU;6500199;36.36
2014;2;ATL-HOU;ATL-IAH;UA;689;1170;238.52;ATL;1;ATL;5593204;IAH;1;HOU;6500199;36.36
2014;2;ATL-HOU;ATL-HOU;DL;696;1652;209.60;ATL;1;ATL;5593204;HOU;0;HOU;6500199;36.36
2014;2;ATL-HOU;ATL-HOU;FL;696;386;169.21;ATL;1;ATL;5593204;HOU;0;HOU;6500199;36.36
2014;2;ATL-HOU;ATL-HOU;WN;696;1580;187.14;ATL;1;ATL;5593204;HOU;0;HOU;6500199;36.36
2014;2;ATL-HRT;ATL-BDL;DL;859;1570;233.07;ATL;1;ATL;5593204;BDL;1;HRT;1213886;6.79
2014;2;ATL-HRT;ATL-BDL;FL;859;623;174.58;ATL;1;ATL;5593204;BDL;1;HRT;1213886;6.79
2014;2;ATL-HRT;ATL-BDL;WN;859;636;183.51;ATL;1;ATL;5593204;BDL;1;HRT;1213886;6.79
2014;2;ATL-IND;ATL-IND;DL;432;1601;209.00;ATL;1;ATL;5593204;IND;1;IND;1971006;11.02
2014;2;ATL-IND;ATL-IND;WN;432;477;141.99;ATL;1;ATL;5593204;IND;1;IND;1971006;11.02
2014;2;ATL-IND;ATL-IND;FL;432;701;150.34;ATL;1;ATL;5593204;IND;1;IND;1971006;11.02
2014;2;ATL-JCK;ATL-JAX;FL;270;203;145.69;ATL;1;ATL;5593204;JAX;1;JCK;1608268;9.00
2014;2;ATL-JCK;ATL-JAX;DL;270;1532;191.55;ATL;1;ATL;5593204;JAX;1;JCK;1608268;9.00
2014;2;ATL-JCK;ATL-JAX;WN;270;328;141.37;ATL;1;ATL;5593204;JAX;1;JCK;1608268;9.00
2014;2;ATL-KAN;ATL-MCI;FL;692;304;169.35;ATL;1;ATL;5593204;MCI;1;KAN;2069182;11.57
